shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
relation/9233872,-8.5141869,115.2640083,1,
relation/9233872,-8.5149962,115.2638965,2,
relation/9233872,-8.515311,115.263838,3,
relation/9233872,-8.5157813,115.2637505,4,
relation/9233872,-8.5159328,115.2637298,5,
relation/9233872,-8.5164714,115.2636561,6,
relation/9233872,-8.5166595,115.263628,7,
relation/9233872,-8.5167656,115.2636685,8,
relation/9233872,-8.5168312,115.2636935,9,
relation/9233872,-8.5169883,115.2636893,10,
relation/9233872,-8.5172089,115.2636548,11,
relation/9233872,-8.5172489,115.2636399,12,
relation/9233872,-8.5172888,115.2636249,13,
relation/9233872,-8.5175069,115.2635665,14,
relation/9233872,-8.5179515,115.2634451,15,
relation/9233872,-8.5181198,115.2633562,16,
relation/9233872,-8.5182213,115.2632811,17,
relation/9233872,-8.5182925,115.263189,18,
relation/9233872,-8.5183097,115.2630583,19,
relation/9233872,-8.518316,115.262909,20,
relation/9233872,-8.5182954,115.2627276,21,
relation/9233872,-8.5182752,115.2623338,22,
relation/9233872,-8.5182722,115.2620848,23,
relation/9233872,-8.5182394,115.2618662,24,
relation/9233872,-8.5181963,115.2616712,25,
relation/9233872,-8.5181815,115.2615912,26,
relation/9233872,-8.5182717,115.2613789,27,
relation/9233872,-8.5183635,115.2613168,28,
relation/9233872,-8.5184584,115.2612925,29,
relation/9233872,-8.5185139,115.2612541,30,
relation/9233872,-8.5187083,115.2611401,31,
relation/9233872,-8.5187464,115.2611107,32,
relation/9233872,-8.518931,115.2610721,33,
relation/9233872,-8.5195582,115.2609984,34,
relation/9233872,-8.5200444,115.2607707,35,
relation/9233872,-8.5204812,115.2606455,36,
relation/9233872,-8.5206544,115.2604538,37,
relation/9233872,-8.5205625,115.2602442,38,
relation/9233872,-8.520377,115.2602181,39,
relation/9233872,-8.520261,115.2603178,40,
relation/9233872,-8.5201673,115.2604358,41,
relation/9233872,-8.5200119,115.2606566,42,
relation/9233872,-8.5198479,115.2607767,43,
relation/9233872,-8.5196266,115.26084,44,
relation/9233872,-8.5193813,115.2608825,45,
relation/9233872,-8.5191247,115.2608958,46,
relation/9233872,-8.5189896,115.2608359,47,
relation/9233872,-8.5189048,115.2608159,48,
relation/9233872,-8.5187755,115.2608642,49,
relation/9233872,-8.5187188,115.2609744,50,
relation/9233872,-8.5187167,115.2609988,51,
relation/9233872,-8.5187102,115.2610763,52,
relation/9233872,-8.5186815,115.2611176,53,
relation/9233872,-8.518539,115.2612168,54,
relation/9233872,-8.518454,115.261267,55,
relation/9233872,-8.5183895,115.2612735,56,
relation/9233872,-8.5182937,115.2612263,57,
relation/9233872,-8.5181879,115.2610861,58,
relation/9233872,-8.5181905,115.2609219,59,
relation/9233872,-8.5182195,115.2606316,60,
relation/9233872,-8.5182406,115.2604199,61,
relation/9233872,-8.5181405,115.2602604,62,
relation/9233872,-8.5179371,115.2600809,63,
relation/9233872,-8.5177689,115.2599016,64,
relation/9233872,-8.5177202,115.2596782,65,
relation/9233872,-8.517706,115.259556,66,
relation/9233872,-8.5176813,115.2594339,67,
relation/9233872,-8.5176554,115.259382,68,
relation/9233872,-8.5176235,115.2593705,69,
relation/9233872,-8.5175941,115.2593613,70,
relation/9233872,-8.5175638,115.2593748,71,
relation/9233872,-8.5175699,115.2594302,72,
relation/9233872,-8.5174373,115.2595398,73,
relation/9233872,-8.5171888,115.2596957,74,
relation/9233872,-8.5168499,115.2598249,75,
relation/9233872,-8.5160786,115.2600791,76,
relation/9233872,-8.5158019,115.2601914,77,
relation/9233872,-8.5157145,115.2602311,78,
relation/9233872,-8.5153656,115.2602969,79,
relation/9233872,-8.5150685,115.2603666,80,
relation/9233872,-8.5145156,115.2605235,81,
relation/9233872,-8.5143728,115.2605557,82,
relation/9233872,-8.5142479,115.2605953,83,
relation/9233872,-8.5141436,115.2606247,84,
relation/9233872,-8.513882,115.2606694,85,
relation/9233872,-8.5138183,115.260692,86,
relation/9233872,-8.5137596,115.2607088,87,
relation/9233872,-8.5135437,115.2607584,88,
relation/9233872,-8.5133376,115.2608024,89,
relation/9233872,-8.5132801,115.2608163,90,
relation/9233872,-8.5130006,115.2608522,91,
relation/9233872,-8.5127395,115.2609154,92,
relation/9233872,-8.512588,115.260954,93,
relation/9233872,-8.5121878,115.2610348,94,
relation/9233872,-8.5118985,115.2610863,95,
relation/9233872,-8.5117516,115.2611117,96,
relation/9233872,-8.5114009,115.2610702,97,
relation/9233872,-8.5113775,115.2610674,98,
