trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
56,21:00:00,21:00:00,node/6197929079,1,,,,,
56,21:02:00,21:02:00,node/6197929073,2,,,,,
56,21:03:00,21:03:00,node/6197929075,3,,,,,
56,21:04:00,21:04:00,node/6197929084,4,,,,,
56,21:05:00,21:05:00,node/6197929485,5,,,,,
56,21:06:00,21:06:00,node/6197929487,6,,,,,
56,21:07:00,21:07:00,node/6197947265,7,,,,,
56,21:08:00,21:08:00,node/6197947267,8,,,,,
56,21:09:00,21:09:00,node/6197947268,9,,,,,
56,21:10:00,21:10:00,node/6197947273,10,,,,,
56,21:13:00,21:13:00,node/5423732489,11,,,,,
54,20:30:00,20:30:00,node/6197929079,1,,,,,
54,20:32:00,20:32:00,node/6197929073,2,,,,,
54,20:33:00,20:33:00,node/6197929075,3,,,,,
54,20:34:00,20:34:00,node/6197929084,4,,,,,
54,20:35:00,20:35:00,node/6197929485,5,,,,,
54,20:36:00,20:36:00,node/6197929487,6,,,,,
54,20:37:00,20:37:00,node/6197947265,7,,,,,
54,20:38:00,20:38:00,node/6197947267,8,,,,,
54,20:39:00,20:39:00,node/6197947268,9,,,,,
54,20:40:00,20:40:00,node/6197947273,10,,,,,
54,20:43:00,20:43:00,node/5423732489,11,,,,,
42,17:30:00,17:30:00,node/6197929079,1,,,,,
42,17:32:00,17:32:00,node/6197929073,2,,,,,
42,17:33:00,17:33:00,node/6197929075,3,,,,,
42,17:34:00,17:34:00,node/6197929084,4,,,,,
42,17:35:00,17:35:00,node/6197929485,5,,,,,
42,17:36:00,17:36:00,node/6197929487,6,,,,,
42,17:37:00,17:37:00,node/6197947265,7,,,,,
42,17:38:00,17:38:00,node/6197947267,8,,,,,
42,17:39:00,17:39:00,node/6197947268,9,,,,,
42,17:40:00,17:40:00,node/6197947273,10,,,,,
42,17:43:00,17:43:00,node/5423732489,11,,,,,
48,19:00:00,19:00:00,node/6197929079,1,,,,,
48,19:02:00,19:02:00,node/6197929073,2,,,,,
48,19:03:00,19:03:00,node/6197929075,3,,,,,
48,19:04:00,19:04:00,node/6197929084,4,,,,,
48,19:05:00,19:05:00,node/6197929485,5,,,,,
48,19:06:00,19:06:00,node/6197929487,6,,,,,
48,19:07:00,19:07:00,node/6197947265,7,,,,,
48,19:08:00,19:08:00,node/6197947267,8,,,,,
48,19:09:00,19:09:00,node/6197947268,9,,,,,
48,19:10:00,19:10:00,node/6197947273,10,,,,,
48,19:13:00,19:13:00,node/5423732489,11,,,,,
43,17:45:00,17:45:00,node/6197929079,1,,,,,
43,17:47:00,17:47:00,node/6197929073,2,,,,,
43,17:48:00,17:48:00,node/6197929075,3,,,,,
43,17:49:00,17:49:00,node/6197929084,4,,,,,
43,17:50:00,17:50:00,node/6197929485,5,,,,,
43,17:51:00,17:51:00,node/6197929487,6,,,,,
43,17:52:00,17:52:00,node/6197947265,7,,,,,
43,17:53:00,17:53:00,node/6197947267,8,,,,,
43,17:54:00,17:54:00,node/6197947268,9,,,,,
43,17:55:00,17:55:00,node/6197947273,10,,,,,
43,17:58:00,17:58:00,node/5423732489,11,,,,,
49,19:15:00,19:15:00,node/6197929079,1,,,,,
49,19:17:00,19:17:00,node/6197929073,2,,,,,
49,19:18:00,19:18:00,node/6197929075,3,,,,,
49,19:19:00,19:19:00,node/6197929084,4,,,,,
49,19:20:00,19:20:00,node/6197929485,5,,,,,
49,19:21:00,19:21:00,node/6197929487,6,,,,,
49,19:22:00,19:22:00,node/6197947265,7,,,,,
49,19:23:00,19:23:00,node/6197947267,8,,,,,
49,19:24:00,19:24:00,node/6197947268,9,,,,,
49,19:25:00,19:25:00,node/6197947273,10,,,,,
49,19:28:00,19:28:00,node/5423732489,11,,,,,
52,20:00:00,20:00:00,node/6197929079,1,,,,,
52,20:02:00,20:02:00,node/6197929073,2,,,,,
52,20:03:00,20:03:00,node/6197929075,3,,,,,
52,20:04:00,20:04:00,node/6197929084,4,,,,,
52,20:05:00,20:05:00,node/6197929485,5,,,,,
52,20:06:00,20:06:00,node/6197929487,6,,,,,
52,20:07:00,20:07:00,node/6197947265,7,,,,,
52,20:08:00,20:08:00,node/6197947267,8,,,,,
52,20:09:00,20:09:00,node/6197947268,9,,,,,
52,20:10:00,20:10:00,node/6197947273,10,,,,,
52,20:13:00,20:13:00,node/5423732489,11,,,,,
53,20:15:00,20:15:00,node/6197929079,1,,,,,
53,20:17:00,20:17:00,node/6197929073,2,,,,,
53,20:18:00,20:18:00,node/6197929075,3,,,,,
53,20:19:00,20:19:00,node/6197929084,4,,,,,
53,20:20:00,20:20:00,node/6197929485,5,,,,,
53,20:21:00,20:21:00,node/6197929487,6,,,,,
53,20:22:00,20:22:00,node/6197947265,7,,,,,
53,20:23:00,20:23:00,node/6197947267,8,,,,,
53,20:24:00,20:24:00,node/6197947268,9,,,,,
53,20:25:00,20:25:00,node/6197947273,10,,,,,
53,20:28:00,20:28:00,node/5423732489,11,,,,,
24,13:00:00,13:00:00,node/6197929079,1,,,,,
24,13:02:00,13:02:00,node/6197929073,2,,,,,
24,13:03:00,13:03:00,node/6197929075,3,,,,,
24,13:04:00,13:04:00,node/6197929084,4,,,,,
24,13:05:00,13:05:00,node/6197929485,5,,,,,
24,13:06:00,13:06:00,node/6197929487,6,,,,,
24,13:07:00,13:07:00,node/6197947265,7,,,,,
24,13:08:00,13:08:00,node/6197947267,8,,,,,
24,13:09:00,13:09:00,node/6197947268,9,,,,,
24,13:10:00,13:10:00,node/6197947273,10,,,,,
24,13:13:00,13:13:00,node/5423732489,11,,,,,
25,13:15:00,13:15:00,node/6197929079,1,,,,,
25,13:17:00,13:17:00,node/6197929073,2,,,,,
25,13:18:00,13:18:00,node/6197929075,3,,,,,
25,13:19:00,13:19:00,node/6197929084,4,,,,,
25,13:20:00,13:20:00,node/6197929485,5,,,,,
25,13:21:00,13:21:00,node/6197929487,6,,,,,
25,13:22:00,13:22:00,node/6197947265,7,,,,,
25,13:23:00,13:23:00,node/6197947267,8,,,,,
25,13:24:00,13:24:00,node/6197947268,9,,,,,
25,13:25:00,13:25:00,node/6197947273,10,,,,,
25,13:28:00,13:28:00,node/5423732489,11,,,,,
26,13:30:00,13:30:00,node/6197929079,1,,,,,
26,13:32:00,13:32:00,node/6197929073,2,,,,,
26,13:33:00,13:33:00,node/6197929075,3,,,,,
26,13:34:00,13:34:00,node/6197929084,4,,,,,
26,13:35:00,13:35:00,node/6197929485,5,,,,,
26,13:36:00,13:36:00,node/6197929487,6,,,,,
26,13:37:00,13:37:00,node/6197947265,7,,,,,
26,13:38:00,13:38:00,node/6197947267,8,,,,,
26,13:39:00,13:39:00,node/6197947268,9,,,,,
26,13:40:00,13:40:00,node/6197947273,10,,,,,
26,13:43:00,13:43:00,node/5423732489,11,,,,,
27,13:45:00,13:45:00,node/6197929079,1,,,,,
27,13:47:00,13:47:00,node/6197929073,2,,,,,
27,13:48:00,13:48:00,node/6197929075,3,,,,,
27,13:49:00,13:49:00,node/6197929084,4,,,,,
27,13:50:00,13:50:00,node/6197929485,5,,,,,
27,13:51:00,13:51:00,node/6197929487,6,,,,,
27,13:52:00,13:52:00,node/6197947265,7,,,,,
27,13:53:00,13:53:00,node/6197947267,8,,,,,
27,13:54:00,13:54:00,node/6197947268,9,,,,,
27,13:55:00,13:55:00,node/6197947273,10,,,,,
27,13:58:00,13:58:00,node/5423732489,11,,,,,
20,12:00:00,12:00:00,node/6197929079,1,,,,,
20,12:02:00,12:02:00,node/6197929073,2,,,,,
20,12:03:00,12:03:00,node/6197929075,3,,,,,
20,12:04:00,12:04:00,node/6197929084,4,,,,,
20,12:05:00,12:05:00,node/6197929485,5,,,,,
20,12:06:00,12:06:00,node/6197929487,6,,,,,
20,12:07:00,12:07:00,node/6197947265,7,,,,,
20,12:08:00,12:08:00,node/6197947267,8,,,,,
20,12:09:00,12:09:00,node/6197947268,9,,,,,
20,12:10:00,12:10:00,node/6197947273,10,,,,,
20,12:13:00,12:13:00,node/5423732489,11,,,,,
21,12:15:00,12:15:00,node/6197929079,1,,,,,
21,12:17:00,12:17:00,node/6197929073,2,,,,,
21,12:18:00,12:18:00,node/6197929075,3,,,,,
21,12:19:00,12:19:00,node/6197929084,4,,,,,
21,12:20:00,12:20:00,node/6197929485,5,,,,,
21,12:21:00,12:21:00,node/6197929487,6,,,,,
21,12:22:00,12:22:00,node/6197947265,7,,,,,
21,12:23:00,12:23:00,node/6197947267,8,,,,,
21,12:24:00,12:24:00,node/6197947268,9,,,,,
21,12:25:00,12:25:00,node/6197947273,10,,,,,
21,12:28:00,12:28:00,node/5423732489,11,,,,,
22,12:30:00,12:30:00,node/6197929079,1,,,,,
22,12:32:00,12:32:00,node/6197929073,2,,,,,
22,12:33:00,12:33:00,node/6197929075,3,,,,,
22,12:34:00,12:34:00,node/6197929084,4,,,,,
22,12:35:00,12:35:00,node/6197929485,5,,,,,
22,12:36:00,12:36:00,node/6197929487,6,,,,,
22,12:37:00,12:37:00,node/6197947265,7,,,,,
22,12:38:00,12:38:00,node/6197947267,8,,,,,
22,12:39:00,12:39:00,node/6197947268,9,,,,,
22,12:40:00,12:40:00,node/6197947273,10,,,,,
22,12:43:00,12:43:00,node/5423732489,11,,,,,
23,12:45:00,12:45:00,node/6197929079,1,,,,,
23,12:47:00,12:47:00,node/6197929073,2,,,,,
23,12:48:00,12:48:00,node/6197929075,3,,,,,
23,12:49:00,12:49:00,node/6197929084,4,,,,,
23,12:50:00,12:50:00,node/6197929485,5,,,,,
23,12:51:00,12:51:00,node/6197929487,6,,,,,
23,12:52:00,12:52:00,node/6197947265,7,,,,,
23,12:53:00,12:53:00,node/6197947267,8,,,,,
23,12:54:00,12:54:00,node/6197947268,9,,,,,
23,12:55:00,12:55:00,node/6197947273,10,,,,,
23,12:58:00,12:58:00,node/5423732489,11,,,,,
46,18:30:00,18:30:00,node/6197929079,1,,,,,
46,18:32:00,18:32:00,node/6197929073,2,,,,,
46,18:33:00,18:33:00,node/6197929075,3,,,,,
46,18:34:00,18:34:00,node/6197929084,4,,,,,
46,18:35:00,18:35:00,node/6197929485,5,,,,,
46,18:36:00,18:36:00,node/6197929487,6,,,,,
46,18:37:00,18:37:00,node/6197947265,7,,,,,
46,18:38:00,18:38:00,node/6197947267,8,,,,,
46,18:39:00,18:39:00,node/6197947268,9,,,,,
46,18:40:00,18:40:00,node/6197947273,10,,,,,
46,18:43:00,18:43:00,node/5423732489,11,,,,,
47,18:45:00,18:45:00,node/6197929079,1,,,,,
47,18:47:00,18:47:00,node/6197929073,2,,,,,
47,18:48:00,18:48:00,node/6197929075,3,,,,,
47,18:49:00,18:49:00,node/6197929084,4,,,,,
47,18:50:00,18:50:00,node/6197929485,5,,,,,
47,18:51:00,18:51:00,node/6197929487,6,,,,,
47,18:52:00,18:52:00,node/6197947265,7,,,,,
47,18:53:00,18:53:00,node/6197947267,8,,,,,
47,18:54:00,18:54:00,node/6197947268,9,,,,,
47,18:55:00,18:55:00,node/6197947273,10,,,,,
47,18:58:00,18:58:00,node/5423732489,11,,,,,
44,18:00:00,18:00:00,node/6197929079,1,,,,,
44,18:02:00,18:02:00,node/6197929073,2,,,,,
44,18:03:00,18:03:00,node/6197929075,3,,,,,
44,18:04:00,18:04:00,node/6197929084,4,,,,,
