route_id,trip_id,trip_headsign,service_id,shape_id,block_id,wheelchair_accessible,bikes_allowed,direction_id
1,56,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,54,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,42,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,48,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,43,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,49,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,52,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,53,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,24,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,25,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,26,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,27,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,20,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,21,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,22,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,23,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,46,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,47,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,44,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,45,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,28,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,29,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,40,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,41,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,1,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,0,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,3,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,2,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,5,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,4,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,7,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,6,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,9,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,8,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,51,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,39,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,38,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,58,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,11,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,10,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,13,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,12,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,15,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,14,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,17,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,16,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,19,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,18,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,31,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,30,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,37,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,36,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,35,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,34,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,33,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,55,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,32,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,57,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
1,50,Monkey Forest Lobby,Mo-Su,relation/9233872,,,,
